fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 50, 0, 798, 200, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 3, 0, 896, 101, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 1, 0, 899, 100, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 1, 0, 898, 101, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 28, 0, 898, 99, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 58, 0, 897, 97, 6, 185,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 2, 0, 898, 100, 2, 56,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 1, 0, 898, 101, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 1, 0, 898, 101, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 6, 0, 894, 101, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.9, 0.97, 5, 1000, 50, 0, 898, 100, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 3, 0, 996, 1, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 1, 0, 998, 1, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 1, 0, 998, 1, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 28, 0, 996, 1, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 58, 0, 993, 1, 6, 185,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 2, 0, 997, 1, 2, 56,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 1, 0, 998, 1, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 1, 0, 998, 1, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 6, 0, 994, 1, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 1, 0.97, 5, 1000, 50, 0, 997, 1, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 3, 0, 99, 898, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 28, 0, 102, 895, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 92, 0, 101, 887, 12, 281,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 4, 0, 100, 896, 4, 161,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 6, 0, 100, 895, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 54, 0, 102, 889, 9, 213,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 3, 0, 198, 799, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 1, 0, 200, 799, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 1, 0, 200, 799, 1, 16,  3
